ID,Age_Group,Gender,Employment,Income,Education,Cafe_Frequency,Reading_Frequency,Visit_Reason,Coffee_Preferences,Food_Preferences,Favorite_Genres,Avg_Spend_AED,Total_Spend_AED,Willing_Pay_Membership,Consider_Membership,Visit_Likelihood,Will_Recommend
46,25-34,Female,Self-employed/Business owner,"20,001 - 35,000",Master's Degree,2-3 times per month,Daily reader (read every day),Work/study in a different environment,"Cold Brew/Iced Coffee|Flavored Coffee (Vanilla, Caramel, Hazelnut)|Hot Chocolate|Tea (Black, Green, Herbal)","Desserts (cakes, brownies)|No food, just beverages",Non-Fiction - Biography/Memoir|Non-Fiction - Business/Self-Help|Non-Fiction - Science/Technology,50,104,0,Probably not,Definitely will visit,Maybe
47,18-24,Female,Student,"Less than 5,000",Bachelor's Degree,Rarely/Never,Regular reader (3-5 times per week),Coffee/beverages quality,"Flavored Coffee (Vanilla, Caramel, Hazelnut)|Fresh Juices/Smoothies",Sandwiches/Wraps|Vegan/Healthy options,Comics/Graphic Novels|Non-Fiction - Business/Self-Help|Other|Religious/Spiritual,16,26,0,Probably not,Definitely will visit,Definitely yes
48,25-34,Female,Full-time employed,"50,001 - 75,000",Bachelor's Degree,2-3 times per month,Rare reader (few times a year),Social meetings with friends/colleagues,"Espresso-based (Cappuccino, Latte, Americano)|Filter/Drip Coffee|Specialty Coffee (Flat White, Cortado, Macchiato)","Breakfast items|Light snacks (cookies, biscuits)|Salads",Unknown,53,99,0,Probably not,Might visit,Probably not
49,35-44,Male,Full-time employed,"20,001 - 35,000",Master's Degree,Once a week,Daily reader (read every day),"Relaxation and ""me-time""|Social meetings with friends/colleagues","Espresso-based (Cappuccino, Latte, Americano)|Fresh Juices/Smoothies|Hot Chocolate","No food, just beverages|Salads|Sandwiches/Wraps|Traditional Arabic sweets",Fiction - Literary|Fiction - Science Fiction/Fantasy|Non-Fiction - Biography/Memoir,33,51,238,"Yes, depending on price",Definitely will visit,Definitely yes
50,25-34,Male,Self-employed/Business owner,"20,001 - 35,000",Doctorate/PhD,4-6 times per week,Regular reader (3-5 times per week),Coffee/beverages quality,"Arabic/Turkish Coffee|Flavored Coffee (Vanilla, Caramel, Hazelnut)","Breakfast items|Light snacks (cookies, biscuits)|Salads|Traditional Arabic sweets",Comics/Graphic Novels|Fiction - Mystery/Thriller|Non-Fiction - Business/Self-Help|Religious/Spiritual,38,60,161,"Yes, depending on price",Definitely will visit,Definitely yes
51,25-34,Male,Self-employed/Business owner,"20,001 - 35,000",Bachelor's Degree,2-3 times per week,Regular reader (3-5 times per week),Coffee/beverages quality|Work/study in a different environment,Fresh Juices/Smoothies|Hot Chocolate,Breakfast items|Salads|Vegan/Healthy options,Children's/Young Adult|Comics/Graphic Novels|Non-Fiction - Business/Self-Help|Non-Fiction - Science/Technology,30,48,345,Maybe,Probably will visit,Probably yes
52,25-34,Male,Full-time employed,"35,001 - 50,000",Other,2-3 times per week,Rare reader (few times a year),"Ambiance and interior design|Relaxation and ""me-time""","Cold Brew/Iced Coffee|Espresso-based (Cappuccino, Latte, Americano)|Fresh Juices/Smoothies|Tea (Black, Green, Herbal)","International cuisine options|No food, just beverages|Sandwiches/Wraps",Unknown,38,61,0,Probably not,Probably will visit,Maybe
53,25-34,Female,Self-employed/Business owner,"5,000 - 10,000",Other,2-3 times per week,Occasional reader (1-2 times per week),Social meetings with friends/colleagues,"Arabic/Turkish Coffee|Specialty Coffee (Flat White, Cortado, Macchiato)","International cuisine options|Light snacks (cookies, biscuits)|Traditional Arabic sweets",Non-Fiction - Business/Self-Help|Non-Fiction - History/Politics|Religious/Spiritual,26,39,150,"Yes, depending on price",Definitely will visit,Definitely yes
54,55+,Male,Full-time employed,"35,001 - 50,000",Diploma/Vocational Training,Daily,Monthly reader (few times a month),Location convenience|Work/study in a different environment,"Arabic/Turkish Coffee|Espresso-based (Cappuccino, Latte, Americano)|Filter/Drip Coffee|Non-caffeinated beverages only","Desserts (cakes, brownies)|Salads|Sandwiches/Wraps|Traditional Arabic sweets",Fiction - Literary|Fiction - Science Fiction/Fantasy|Non-Fiction - Business/Self-Help|Religious/Spiritual,45,77,0,Probably not,Definitely will visit,Definitely yes
55,35-44,Female,Self-employed/Business owner,"20,001 - 35,000",Bachelor's Degree,Once a week,Daily reader (read every day),Ambiance and interior design,"Espresso-based (Cappuccino, Latte, Americano)|Fresh Juices/Smoothies|Hot Chocolate","Pastries (croissants, muffins)|Sandwiches/Wraps|Traditional Arabic sweets",Non-Fiction - Biography/Memoir|Non-Fiction - Business/Self-Help|Poetry,36,77,261,"Yes, depending on price",Definitely will visit,Definitely yes
56,35-44,Male,Full-time employed,"Above 75,000",High School or below,4-6 times per week,Daily reader (read every day),Free WiFi|Work/study in a different environment,"Arabic/Turkish Coffee|Cold Brew/Iced Coffee|Filter/Drip Coffee|Flavored Coffee (Vanilla, Caramel, Hazelnut)","Breakfast items|Desserts (cakes, brownies)|Light snacks (cookies, biscuits)",Comics/Graphic Novels|Fiction - Mystery/Thriller|Non-Fiction - Biography/Memoir|Poetry|Religious/Spiritual,106,187,413,"Yes, depending on price",Probably will visit,Definitely yes
57,25-34,Male,Unemployed,"5,000 - 10,000",Bachelor's Degree,Once a week,Rare reader (few times a year),Location convenience,"Cold Brew/Iced Coffee|Espresso-based (Cappuccino, Latte, Americano)|Hot Chocolate|Non-caffeinated beverages only","Desserts (cakes, brownies)|Light snacks (cookies, biscuits)|Salads|Traditional Arabic sweets",Non-Fiction - History/Politics,18,23,139,"Yes, definitely",Might visit,Maybe
58,35-44,Female,Full-time employed,"35,001 - 50,000",Bachelor's Degree,Once a week,Daily reader (read every day),"Relaxation and ""me-time""|Work/study in a different environment","Cold Brew/Iced Coffee|Fresh Juices/Smoothies|Hot Chocolate|Tea (Black, Green, Herbal)","Breakfast items|Light snacks (cookies, biscuits)|No food, just beverages|Vegan/Healthy options",Comics/Graphic Novels|Fiction - Mystery/Thriller|Non-Fiction - History/Politics|Non-Fiction - Science/Technology|Poetry,39,58,156,Maybe,Might visit,Maybe
59,25-34,Male,Self-employed/Business owner,"10,001 - 20,000",Master's Degree,Once a week,Occasional reader (1-2 times per week),Coffee/beverages quality,"Flavored Coffee (Vanilla, Caramel, Hazelnut)|Fresh Juices/Smoothies|Non-caffeinated beverages only|Tea (Black, Green, Herbal)","International cuisine options|Light snacks (cookies, biscuits)|Pastries (croissants, muffins)",Fiction - Science Fiction/Fantasy|Non-Fiction - Biography/Memoir,30,51,153,Maybe,Definitely will visit,Probably yes
60,25-34,Male,Self-employed/Business owner,"20,001 - 35,000",Master's Degree,2-3 times per week,Regular reader (3-5 times per week),Social meetings with friends/colleagues|Work/study in a different environment,"Filter/Drip Coffee|Flavored Coffee (Vanilla, Caramel, Hazelnut)|Hot Chocolate|Non-caffeinated beverages only",Breakfast items|Salads,Fiction - Mystery/Thriller|Fiction - Science Fiction/Fantasy|Non-Fiction - Business/Self-Help|Religious/Spiritual,37,80,293,Maybe,Might visit,Maybe
61,55+,Female,Full-time employed,"10,001 - 20,000",Master's Degree,2-3 times per month,Regular reader (3-5 times per week),Business meetings,Arabic/Turkish Coffee|Cold Brew/Iced Coffee|Fresh Juices/Smoothies,"International cuisine options|No food, just beverages|Traditional Arabic sweets",Non-Fiction - Biography/Memoir|Non-Fiction - Science/Technology,22,48,0,Probably not,Probably will visit,Probably not
62,35-44,Male,Unemployed,"Less than 5,000",Doctorate/PhD,Once a month,Monthly reader (few times a month),Coffee/beverages quality,"Cold Brew/Iced Coffee|Hot Chocolate|Specialty Coffee (Flat White, Cortado, Macchiato)|Tea (Black, Green, Herbal)",Salads|Sandwiches/Wraps,Children's/Young Adult|Comics/Graphic Novels|Fiction - Science Fiction/Fantasy|Non-Fiction - Biography/Memoir|Poetry,14,20,0,Definitely not,Definitely will visit,Probably yes
63,35-44,Prefer not to say,Full-time employed,"5,000 - 10,000",Master's Degree,Once a month,Monthly reader (few times a month),Work/study in a different environment,"Espresso-based (Cappuccino, Latte, Americano)|Filter/Drip Coffee|Flavored Coffee (Vanilla, Caramel, Hazelnut)|Tea (Black, Green, Herbal)","No food, just beverages|Traditional Arabic sweets|Vegan/Healthy options",Children's/Young Adult|Fiction - Contemporary/Romance,20,32,0,Definitely not,Might visit,Probably yes
